epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.33882,1.28152,4.05674,1.39979,0.00705,0.41961,0.03634,0.02455,1.19636,3.84024,1.26264,0.00018564,0.00018564,0.00018564
2,16.7191,1.25837,3.46103,1.35527,0.57035,0.05652,0.06425,0.0417,1.34399,3.2505,1.32321,0.000359688,0.000359688,0.000359688
3,23.7913,1.29724,2.99516,1.38713,0.38754,0.1453,0.11605,0.07231,1.36982,3.12696,1.39952,0.000514651,0.000514651,0.000514651
4,31.3868,1.32631,2.77877,1.3749,0.2977,0.20667,0.16525,0.09983,1.35466,2.50603,1.36747,0.000607971,0.000607971,0.000607971
5,39.403,1.33789,2.66436,1.38588,0.18902,0.2427,0.15774,0.09682,1.32725,2.46424,1.36152,0.000572628,0.000572628,0.000572628
6,46.4821,1.3466,2.4987,1.38337,0.29138,0.30511,0.22268,0.13887,1.31562,2.27052,1.34797,0.000537285,0.000537285,0.000537285
7,53.8139,1.26794,2.37139,1.35167,0.26786,0.3387,0.26023,0.16827,1.27809,2.51892,1.32856,0.000501942,0.000501942,0.000501942
8,60.7943,1.2503,2.32977,1.35832,0.37608,0.37743,0.32447,0.20345,1.33753,2.04598,1.37935,0.000466599,0.000466599,0.000466599
9,67.6509,1.23183,2.12312,1.3392,0.47698,0.39795,0.37021,0.23779,1.2609,1.95533,1.32909,0.000431256,0.000431256,0.000431256
10,74.7125,1.26252,2.14187,1.34402,0.52467,0.38699,0.41166,0.26927,1.246,1.81986,1.31129,0.000395913,0.000395913,0.000395913
11,102.077,1.27385,2.62555,1.38918,0.37954,0.333,0.32657,0.20794,1.28423,2.16085,1.37878,0.00036057,0.00036057,0.00036057
12,108.946,1.22415,2.34811,1.34628,0.49378,0.37868,0.41919,0.28081,1.22599,1.79012,1.30348,0.000325227,0.000325227,0.000325227
13,115.682,1.17692,2.22317,1.29353,0.42126,0.42452,0.4397,0.29843,1.19001,1.75274,1.26537,0.000289884,0.000289884,0.000289884
14,122.63,1.16174,2.18729,1.27813,0.46978,0.51997,0.50149,0.34606,1.15359,1.61552,1.23908,0.000254541,0.000254541,0.000254541
15,129.69,1.14484,2.04121,1.27943,0.58527,0.52058,0.53408,0.37194,1.13896,1.57541,1.23036,0.000219198,0.000219198,0.000219198
16,136.488,1.14393,1.96198,1.26307,0.61045,0.50114,0.55588,0.3904,1.1162,1.47102,1.21046,0.000183855,0.000183855,0.000183855
17,143.333,1.0916,1.97843,1.2336,0.64859,0.53239,0.58638,0.42158,1.09531,1.3787,1.18487,0.000148512,0.000148512,0.000148512
18,150.143,1.11436,1.89738,1.22559,0.62707,0.5871,0.61466,0.43736,1.0822,1.3337,1.17371,0.000113169,0.000113169,0.000113169
19,156.968,1.06948,1.82991,1.22456,0.70702,0.57324,0.64892,0.46508,1.06552,1.28532,1.16372,7.7826e-05,7.7826e-05,7.7826e-05
20,163.855,1.09076,1.7922,1.22339,0.64445,0.61985,0.65939,0.47725,1.05829,1.2656,1.15865,4.2483e-05,4.2483e-05,4.2483e-05
